Level,Skill Effect 0 Value 0,Skill Effect 0 Value 1,Skill Effect 1 Value 0,Skill Effect 1 Value 1,Skill Effect 2 Value 0,Skill Effect 2 Value 1,Cost

1,0.1,,,,,,0.1
2,0.12,,,,,,0.1
3,0.14,,,,,,0.1
4,0.16,,,,,,0.1
5,0.2,,,,,,0.1
6,0.22,,,,,,0.1
7,0.24,,,,,,0.1
8,0.26,,,,,,0.1
9,0.28,,,,,,0.1
10,0.32,,,,,,0.1
11,0.34,,,,,,0.1
12,0.36,,,,,,0.1
13,0.38,,,,,,0.1
14,0.4,,,,,,0.1
15,0.44,,,,,,0.1
16,0.46,,,,,,0.1
17,0.48,,,,,,0.1
18,0.5,,,,,,0.1
19,0.52,,,,,,0.1
20,0.56,,,,,,0.1
21,0.58,,,,,,0.1
22,0.6,,,,,,0.1
23,0.62,,,,,,0.1
24,0.64,,,,,,0.1
25,0.68,,,,,,0.1
26,0.7,,,,,,0.1
27,0.72,,,,,,0.1
28,0.74,,,,,,0.1
29,0.76,,,,,,0.1
30,0.8,,,,,,0.1
31,0.82,,,,,,0.1
32,0.84,,,,,,0.1
33,0.86,,,,,,0.1
34,0.88,,,,,,0.1
35,0.92,,,,,,0.1
36,0.94,,,,,,0.1
37,0.96,,,,,,0.1
38,0.98,,,,,,0.1
39,1.02,,,,,,0.1